"tempSet","timestamp","tempActual","outlier"
60.0,10/27/17 3:41 AM,53.13,"false"
60.0,10/27/17 3:41 AM,53.422,"false"
60.0,10/27/17 3:41 AM,53.699,"false"
60.0,10/27/17 3:42 AM,53.9064,"false"
60.0,10/27/17 3:42 AM,54.094,"false"
60.0,10/27/17 3:42 AM,54.2364,"false"
60.0,10/27/17 3:42 AM,54.357,"false"
60.0,10/27/17 3:43 AM,54.434,"false"
60.0,10/27/17 3:43 AM,54.5,"false"
60.0,10/27/17 3:43 AM,54.577,"false"
60.0,10/27/17 3:43 AM,54.61,"false"
60.0,10/27/17 3:44 AM,54.69,"false"
60.0,10/27/17 3:44 AM,54.72,"false"
60.0,10/27/17 3:44 AM,54.732,"false"
60.0,10/27/17 3:44 AM,54.84,"false"
60.0,10/27/17 3:45 AM,54.84,"false"
60.0,10/27/17 3:45 AM,54.86,"false"
60.0,10/27/17 3:45 AM,54.939,"false"
60.0,10/27/17 3:45 AM,54.95,"false"
60.0,10/27/17 3:46 AM,54.96,"false"
60.0,10/27/17 3:46 AM,55.027,"false"
60.0,10/27/17 3:46 AM,55.06,"false"
60.0,10/27/17 3:46 AM,55.11,"false"
60.0,10/27/17 3:47 AM,55.17,"false"
60.0,10/27/17 3:47 AM,55.17,"false"
60.0,10/27/17 3:47 AM,55.17,"false"
60.0,10/27/17 3:47 AM,55.23,"false"
60.0,10/27/17 3:48 AM,55.29,"false"
60.0,10/27/17 3:48 AM,55.29,"false"
60.0,10/27/17 3:48 AM,55.301,"false"
60.0,10/27/17 3:48 AM,55.37,"false"
60.0,10/27/17 3:49 AM,55.4,"false"
60.0,10/27/17 3:49 AM,55.4,"false"
60.0,10/27/17 3:49 AM,55.4,"false"
60.0,10/27/17 3:49 AM,55.455,"false"
60.0,10/27/17 3:50 AM,55.51,"false"
60.0,10/27/17 3:50 AM,55.51,"false"
60.0,10/27/17 3:50 AM,55.51,"false"
60.0,10/27/17 3:50 AM,55.546,"false"
60.0,10/27/17 3:51 AM,55.63,"false"
60.0,10/27/17 3:51 AM,55.63,"false"
60.0,10/27/17 3:51 AM,55.63,"false"
60.0,10/27/17 3:51 AM,55.65,"false"
60.0,10/27/17 3:52 AM,55.729,"false"
60.0,10/27/17 3:52 AM,55.74,"false"
60.0,10/27/17 3:52 AM,55.74,"false"
60.0,10/27/17 3:52 AM,55.817,"false"
60.0,10/27/17 3:53 AM,55.85,"false"
60.0,10/27/17 3:53 AM,55.85,"false"
60.0,10/27/17 3:53 AM,55.85,"false"
60.0,10/27/17 3:53 AM,55.861,"false"
60.0,10/27/17 3:54 AM,55.95,"false"
60.0,10/27/17 3:54 AM,55.96,"false"
60.0,10/27/17 3:54 AM,55.96,"false"
60.0,10/27/17 3:54 AM,55.96,"false"
60.0,10/27/17 3:55 AM,55.971,"false"
60.0,10/27/17 3:55 AM,56.048,"false"
60.0,10/27/17 3:55 AM,56.07,"false"
60.0,10/27/17 3:55 AM,56.07,"false"
60.0,10/27/17 3:56 AM,56.07,"false"
60.0,10/27/17 3:56 AM,56.082,"false"
60.0,10/27/17 3:56 AM,56.142,"false"
60.0,10/27/17 3:56 AM,56.19,"false"
60.0,10/27/17 3:57 AM,56.19,"false"
60.0,10/27/17 3:57 AM,56.212,"false"
60.0,10/27/17 3:57 AM,56.29,"false"
60.0,10/27/17 3:57 AM,56.3,"false"
60.0,10/27/17 3:58 AM,56.3,"false"
60.0,10/27/17 3:58 AM,56.3,"false"
60.0,10/27/17 3:58 AM,56.333,"false"
60.0,10/27/17 3:58 AM,56.32,"false"
60.0,10/27/17 3:59 AM,56.377,"false"
60.0,10/27/17 3:59 AM,56.41,"false"
60.0,10/27/17 3:59 AM,56.41,"false"
60.0,10/27/17 3:59 AM,56.41,"false"
60.0,10/27/17 4:00 AM,56.446,"false"
60.0,10/27/17 4:00 AM,56.53,"false"
60.0,10/27/17 4:00 AM,56.53,"false"
60.0,10/27/17 4:00 AM,56.53,"false"
60.0,10/27/17 4:01 AM,56.53,"false"
60.0,10/27/17 4:01 AM,56.574,"false"
60.0,10/27/17 4:01 AM,56.629,"false"
60.0,10/27/17 4:01 AM,56.64,"false"
60.0,10/27/17 4:02 AM,56.64,"false"
60.0,10/27/17 4:02 AM,56.64,"false"
60.0,10/27/17 4:02 AM,56.695,"false"
60.0,10/27/17 4:02 AM,56.75,"false"
60.0,10/27/17 4:03 AM,56.75,"false"
60.0,10/27/17 4:03 AM,56.75,"false"
60.0,10/27/17 4:03 AM,56.75,"false"
60.0,10/27/17 4:03 AM,56.75,"false"
60.0,10/27/17 4:04 AM,56.86,"false"
60.0,10/27/17 4:04 AM,56.86,"false"
60.0,10/27/17 4:04 AM,56.86,"false"
60.0,10/27/17 4:04 AM,56.86,"false"
60.0,10/27/17 4:05 AM,56.86,"false"
60.0,10/27/17 4:05 AM,56.86,"false"
60.0,10/27/17 4:05 AM,56.915,"false"
60.0,10/27/17 4:05 AM,56.95,"false"
60.0,10/27/17 4:06 AM,56.97,"false"
60.0,10/27/17 4:06 AM,56.97,"false"
60.0,10/27/17 4:06 AM,56.97,"false"
60.0,10/27/17 4:06 AM,56.97,"false"
60.0,10/27/17 4:07 AM,57.0245,"false"
60.0,10/27/17 4:07 AM,57.09,"false"
60.0,10/27/17 4:07 AM,57.09,"false"
60.0,10/27/17 4:07 AM,57.09,"false"
60.0,10/27/17 4:08 AM,57.09,"false"
60.0,10/27/17 4:08 AM,57.101,"false"
60.0,10/27/17 4:08 AM,57.15,"false"
60.0,10/27/17 4:08 AM,57.189,"false"
60.0,10/27/17 4:09 AM,57.2,"false"
60.0,10/27/17 4:09 AM,57.2,"false"
60.0,10/27/17 4:09 AM,57.2,"false"
60.0,10/27/17 4:09 AM,57.255,"false"
60.0,10/27/17 4:10 AM,57.31,"false"
52.0,10/27/17 4:10 AM,57.31,"false"
52.0,10/27/17 4:10 AM,57.31,"false"
52.0,10/27/17 4:10 AM,57.31,"false"
52.0,10/27/17 4:11 AM,57.31,"false"
52.0,10/27/17 4:11 AM,57.167,"false"
52.0,10/27/17 4:11 AM,56.9436,"false"
52.0,10/27/17 4:11 AM,56.549,"false"
52.0,10/27/17 4:12 AM,56.0845,"false"
52.0,10/27/17 4:12 AM,55.593,"false"
52.0,10/27/17 4:12 AM,54.915,"false"
52.0,10/27/17 4:12 AM,54.2664,"false"
52.0,10/27/17 4:13 AM,53.635,"false"
52.0,10/27/17 4:13 AM,52.9855,"false"
52.0,10/27/17 4:13 AM,52.295,"false"
52.0,10/27/17 4:13 AM,51.6864,"false"
52.0,10/27/17 4:14 AM,51.328,"false"
52.0,10/27/17 4:14 AM,51.094,"false"
52.0,10/27/17 4:14 AM,51.01,"false"
52.0,10/27/17 4:14 AM,51.092,"false"
52.0,10/27/17 4:15 AM,51.4618,"false"
52.0,10/27/17 4:15 AM,51.88,"false"
52.0,10/27/17 4:15 AM,52.3618,"false"
52.0,10/27/17 4:15 AM,52.788,"false"
52.0,10/27/17 4:16 AM,53.1918,"false"
52.0,10/27/17 4:16 AM,53.534,"false"
52.0,10/27/17 4:16 AM,53.8118,"false"
52.0,10/27/17 4:16 AM,53.984,"false"
52.0,10/27/17 4:17 AM,54.149,"false"
52.0,10/27/17 4:17 AM,54.33,"false"
52.0,10/27/17 4:17 AM,54.434,"false"
52.0,10/27/17 4:17 AM,54.42,"false"
52.0,10/27/17 4:18 AM,54.368,"false"
52.0,10/27/17 4:18 AM,54.232,"false"
52.0,10/27/17 4:18 AM,53.8645,"false"
52.0,10/27/17 4:18 AM,53.399,"false"
52.0,10/27/17 4:19 AM,52.868,"false"
52.0,10/27/17 4:19 AM,52.2191,"false"
52.0,10/27/17 4:19 AM,51.5536,"false"
52.0,10/27/17 4:19 AM,51.139,"false"
52.0,10/27/17 4:20 AM,50.899,"false"
52.0,10/27/17 4:20 AM,50.44,"false"
52.0,10/27/17 4:20 AM,50.303,"false"
52.0,10/27/17 4:20 AM,50.505,"false"
52.0,10/27/17 4:21 AM,50.8582,"false"
52.0,10/27/17 4:21 AM,51.284,"false"
52.0,10/27/17 4:21 AM,51.6655,"false"
52.0,10/27/17 4:21 AM,52.071,"false"
52.0,10/27/17 4:22 AM,52.41,"false"
52.0,10/27/17 4:22 AM,52.7183,"false"
52.0,10/27/17 4:22 AM,53.0264,"false"
52.0,10/27/17 4:22 AM,53.227,"false"
52.0,10/27/17 4:23 AM,53.3691,"false"
52.0,10/27/17 4:23 AM,53.479,"false"
52.0,10/27/17 4:23 AM,53.49,"false"
52.0,10/27/17 4:23 AM,53.49,"false"
52.0,10/27/17 4:24 AM,53.49,"false"
52.0,10/27/17 4:24 AM,53.3673,"false"
52.0,10/27/17 4:24 AM,53.014,"false"
52.0,10/27/17 4:24 AM,52.5145,"false"
52.0,10/27/17 4:25 AM,52.015,"false"
52.0,10/27/17 4:25 AM,51.5536,"false"
52.0,10/27/17 4:25 AM,51.059,"false"
52.0,10/27/17 4:25 AM,50.64,"false"
52.0,10/27/17 4:26 AM,50.1718,"false"
52.0,10/27/17 4:26 AM,49.934,"false"
52.0,10/27/17 4:26 AM,49.857,"false"
52.0,10/27/17 4:26 AM,50.06,"false"
52.0,10/27/17 4:27 AM,50.359,"false"
52.0,10/27/17 4:27 AM,50.7764,"false"
52.0,10/27/17 4:27 AM,51.183,"false"
52.0,10/27/17 4:27 AM,51.5936,"false"
52.0,10/27/17 4:28 AM,51.924,"false"
52.0,10/27/17 4:28 AM,52.21,"false"
52.0,10/27/17 4:28 AM,52.438,"false"
52.0,10/27/17 4:28 AM,52.65,"false"
52.0,10/27/17 4:29 AM,52.788,"false"
52.0,10/27/17 4:29 AM,52.92,"false"
52.0,10/27/17 4:29 AM,53.028,"false"
52.0,10/27/17 4:29 AM,52.92,"false"
52.0,10/27/17 4:30 AM,52.87,"false"
52.0,10/27/17 4:30 AM,52.766,"false"
52.0,10/27/17 4:30 AM,52.5355,"false"
52.0,10/27/17 4:30 AM,52.2,"false"
52.0,10/27/17 4:31 AM,51.687,"false"
52.0,10/27/17 4:31 AM,51.115,"false"
52.0,10/27/17 4:31 AM,50.6136,"false"
52.0,10/27/17 4:31 AM,50.1,"false"
52.0,10/27/17 4:32 AM,49.697,"false"
52.0,10/27/17 4:32 AM,49.46,"false"
52.0,10/27/17 4:32 AM,49.32,"false"
52.0,10/27/17 4:32 AM,49.437,"false"
52.0,10/27/17 4:33 AM,49.8373,"false"
52.0,10/27/17 4:33 AM,50.348,"false"
52.0,10/27/17 4:33 AM,50.7764,"false"
52.0,10/27/17 4:33 AM,51.138,"false"
52.0,10/27/17 4:34 AM,51.46,"false"
52.0,10/27/17 4:34 AM,51.6873,"false"
52.0,10/27/17 4:34 AM,51.9436,"false"
52.0,10/27/17 4:34 AM,52.107,"false"
52.0,10/27/17 4:35 AM,52.29,"false"
52.0,10/27/17 4:35 AM,52.4,"false"
52.0,10/27/17 4:35 AM,52.482,"false"
52.0,10/27/17 4:35 AM,52.59,"false"
52.0,10/27/17 4:36 AM,52.689,"false"
52.0,10/27/17 4:36 AM,52.733,"false"
52.0,10/27/17 4:36 AM,52.83,"false"
52.0,10/27/17 4:36 AM,52.799,"false"
52.0,10/27/17 4:37 AM,52.7,"false"
52.0,10/27/17 4:37 AM,52.678,"false"
52.0,10/27/17 4:37 AM,52.3709,"false"
52.0,10/27/17 4:37 AM,51.936,"false"
52.0,10/27/17 4:38 AM,51.5127,"false"
52.0,10/27/17 4:38 AM,51.07,"false"
52.0,10/27/17 4:38 AM,50.55,"false"
52.0,10/27/17 4:38 AM,50.02,"false"
52.0,10/27/17 4:39 AM,49.538,"false"
52.0,10/27/17 4:39 AM,49.199,"false"
52.0,10/27/17 4:39 AM,49.0,"false"
52.0,10/27/17 4:39 AM,49.1,"false"
52.0,10/27/17 4:40 AM,49.3745,"false"
56.0,10/27/17 4:40 AM,49.81,"false"
56.0,10/27/17 4:40 AM,50.201,"false"
56.0,10/27/17 4:40 AM,50.6427,"false"
56.0,10/27/17 4:41 AM,51.002,"false"
56.0,10/27/17 4:41 AM,51.262,"false"
56.0,10/27/17 4:41 AM,51.52,"false"
56.0,10/27/17 4:41 AM,51.711,"false"
56.0,10/27/17 4:42 AM,51.877,"false"
56.0,10/27/17 4:42 AM,52.04,"false"
56.0,10/27/17 4:42 AM,52.14,"false"
56.0,10/27/17 4:42 AM,52.217,"false"
56.0,10/27/17 4:43 AM,52.3,"false"
56.0,10/27/17 4:43 AM,52.371,"false"
56.0,10/27/17 4:43 AM,52.459,"false"
56.0,10/27/17 4:43 AM,52.5136,"false"
56.0,10/27/17 4:44 AM,52.59,"false"
56.0,10/27/17 4:44 AM,52.63,"false"
56.0,10/27/17 4:44 AM,52.7,"false"
56.0,10/27/17 4:44 AM,52.766,"false"
56.0,10/27/17 4:45 AM,52.82,"false"
56.0,10/27/17 4:45 AM,52.92,"false"
56.0,10/27/17 4:45 AM,52.92,"false"
56.0,10/27/17 4:45 AM,53.0182,"false"
56.0,10/27/17 4:46 AM,53.04,"false"
56.0,10/27/17 4:46 AM,53.04,"false"
56.0,10/27/17 4:46 AM,53.139,"false"
56.0,10/27/17 4:46 AM,53.15,"false"
56.0,10/27/17 4:47 AM,53.18,"false"
56.0,10/27/17 4:47 AM,53.26,"false"
56.0,10/27/17 4:47 AM,53.3145,"false"
56.0,10/27/17 4:47 AM,53.38,"false"
56.0,10/27/17 4:48 AM,53.38,"false"
56.0,10/27/17 4:48 AM,53.47,"false"
56.0,10/27/17 4:48 AM,53.49,"false"
56.0,10/27/17 4:48 AM,53.501,"false"
56.0,10/27/17 4:49 AM,53.59,"false"
56.0,10/27/17 4:49 AM,53.6,"false"
56.0,10/27/17 4:49 AM,53.6,"false"
56.0,10/27/17 4:49 AM,53.655,"false"
56.0,10/27/17 4:50 AM,53.71,"false"
56.0,10/27/17 4:50 AM,53.71,"false"
56.0,10/27/17 4:50 AM,53.82,"false"
56.0,10/27/17 4:50 AM,53.82,"false"
56.0,10/27/17 4:51 AM,53.82,"false"
56.0,10/27/17 4:51 AM,53.868,"false"
56.0,10/27/17 4:51 AM,53.94,"false"
56.0,10/27/17 4:51 AM,53.94,"false"
56.0,10/27/17 4:52 AM,53.951,"false"
56.0,10/27/17 4:52 AM,54.028,"false"
56.0,10/27/17 4:52 AM,54.05,"false"
56.0,10/27/17 4:52 AM,54.05,"false"
56.0,10/27/17 4:53 AM,54.06,"false"
56.0,10/27/17 4:53 AM,54.16,"false"
56.0,10/27/17 4:53 AM,54.16,"false"
56.0,10/27/17 4:53 AM,54.16,"false"
56.0,10/27/17 4:54 AM,54.184,"false"
56.0,10/27/17 4:54 AM,54.28,"false"
56.0,10/27/17 4:54 AM,54.28,"false"
56.0,10/27/17 4:54 AM,54.291,"false"
56.0,10/27/17 4:55 AM,54.36,"false"
56.0,10/27/17 4:55 AM,54.39,"false"
56.0,10/27/17 4:55 AM,54.39,"false"
56.0,10/27/17 4:55 AM,54.434,"false"
56.0,10/27/17 4:56 AM,54.5,"false"
56.0,10/27/17 4:56 AM,54.5,"false"
56.0,10/27/17 4:56 AM,54.5,"false"
56.0,10/27/17 4:56 AM,54.577,"false"
56.0,10/27/17 4:57 AM,54.6,"false"
56.0,10/27/17 4:57 AM,54.61,"false"
56.0,10/27/17 4:57 AM,54.61,"false"
56.0,10/27/17 4:57 AM,54.654,"false"
56.0,10/27/17 4:58 AM,54.72,"false"
56.0,10/27/17 4:58 AM,54.72,"false"
56.0,10/27/17 4:58 AM,54.72,"false"
56.0,10/27/17 4:58 AM,54.8073,"false"
56.0,10/27/17 4:59 AM,54.84,"false"
56.0,10/27/17 4:59 AM,54.84,"false"
56.0,10/27/17 4:59 AM,54.84,"false"
56.0,10/27/17 4:59 AM,54.873,"false"
56.0,10/27/17 5:00 AM,54.928,"false"
56.0,10/27/17 5:00 AM,54.95,"false"
56.0,10/27/17 5:00 AM,54.95,"false"
56.0,10/27/17 5:00 AM,54.95,"false"
56.0,10/27/17 5:01 AM,55.03,"false"
56.0,10/27/17 5:01 AM,55.06,"false"
56.0,10/27/17 5:01 AM,55.06,"false"
56.0,10/27/17 5:01 AM,55.06,"false"
56.0,10/27/17 5:02 AM,55.06,"false"
56.0,10/27/17 5:02 AM,55.15,"false"
56.0,10/27/17 5:02 AM,55.17,"false"
56.0,10/27/17 5:02 AM,55.17,"false"
56.0,10/27/17 5:03 AM,55.17,"false"
56.0,10/27/17 5:03 AM,55.182,"false"
56.0,10/27/17 5:03 AM,55.2573,"false"
56.0,10/27/17 5:03 AM,55.29,"false"
56.0,10/27/17 5:04 AM,55.29,"false"
56.0,10/27/17 5:04 AM,55.29,"false"
56.0,10/27/17 5:04 AM,55.301,"false"
56.0,10/27/17 5:04 AM,55.378,"false"
56.0,10/27/17 5:05 AM,55.4,"false"
56.0,10/27/17 5:05 AM,55.4,"false"
56.0,10/27/17 5:05 AM,55.4,"false"
56.0,10/27/17 5:05 AM,55.4,"false"
56.0,10/27/17 5:06 AM,55.477,"false"
56.0,10/27/17 5:06 AM,55.51,"false"
56.0,10/27/17 5:06 AM,55.51,"false"
56.0,10/27/17 5:06 AM,55.51,"false"
56.0,10/27/17 5:07 AM,55.51,"false"
56.0,10/27/17 5:07 AM,55.5536,"false"
56.0,10/27/17 5:07 AM,55.63,"false"
56.0,10/27/17 5:07 AM,55.63,"false"
56.0,10/27/17 5:08 AM,55.63,"false"
56.0,10/27/17 5:08 AM,55.63,"false"
56.0,10/27/17 5:08 AM,55.67,"false"
56.0,10/27/17 5:08 AM,55.74,"false"
56.0,10/27/17 5:09 AM,55.74,"false"
56.0,10/27/17 5:09 AM,55.74,"false"
56.0,10/27/17 5:09 AM,55.74,"false"
56.0,10/27/17 5:09 AM,55.74,"false"
56.0,10/27/17 5:10 AM,55.74,"false"
53.0,10/27/17 5:10 AM,55.839,"false"
53.0,10/27/17 5:10 AM,55.85,"false"
53.0,10/27/17 5:10 AM,55.85,"false"
53.0,10/27/17 5:11 AM,55.762,"false"
53.0,10/27/17 5:11 AM,55.63,"false"
53.0,10/27/17 5:11 AM,55.455,"false"
53.0,10/27/17 5:11 AM,55.0309,"false"
53.0,10/27/17 5:12 AM,54.533,"false"
53.0,10/27/17 5:12 AM,53.982,"false"
53.0,10/27/17 5:12 AM,53.1491,"false"
53.0,10/27/17 5:12 AM,52.44,"false"
53.0,10/27/17 5:13 AM,51.8936,"false"
53.0,10/27/17 5:13 AM,51.394,"false"
53.0,10/27/17 5:13 AM,50.98,"false"
53.0,10/27/17 5:13 AM,50.8,"false"
53.0,10/27/17 5:14 AM,51.002,"false"
53.0,10/27/17 5:14 AM,51.39,"false"
53.0,10/27/17 5:14 AM,51.811,"false"
53.0,10/27/17 5:14 AM,52.173,"false"
53.0,10/27/17 5:15 AM,52.5355,"false"
53.0,10/27/17 5:15 AM,52.8818,"false"
53.0,10/27/17 5:15 AM,53.1362,"false"
53.0,10/27/17 5:15 AM,53.3777,"false"
53.0,10/27/17 5:16 AM,53.57,"false"
53.0,10/27/17 5:16 AM,53.721,"false"
53.0,10/27/17 5:16 AM,53.82,"false"
53.0,10/27/17 5:16 AM,53.94,"false"
53.0,10/27/17 5:17 AM,53.856,"false"
53.0,10/27/17 5:17 AM,53.74,"false"
53.0,10/27/17 5:17 AM,53.589,"false"
53.0,10/27/17 5:17 AM,53.2745,"false"
53.0,10/27/17 5:18 AM,52.8,"false"
53.0,10/27/17 5:18 AM,52.261,"false"
53.0,10/27/17 5:18 AM,51.6973,"false"
53.0,10/27/17 5:18 AM,51.149,"false"
53.0,10/27/17 5:19 AM,50.6336,"false"
53.0,10/27/17 5:19 AM,50.099,"false"
